2021-09-03 16:02:18,271 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:18,272 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-09-03 16:02:18,274 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:18,274 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-09-03 16:02:18,275 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:18,275 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=7
2021-09-03 16:02:18,275 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=8
2021-09-03 16:02:18,275 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=9
2021-09-03 16:02:18,276 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=10
2021-09-03 16:02:18,277 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=11
2021-09-03 16:02:18,278 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=12
2021-09-03 16:02:18,280 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=13
2021-09-03 16:02:18,281 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=14
2021-09-03 16:02:34,306 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-09-03 16:02:34,307 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:34,307 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-09-03 16:02:34,307 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:34,308 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-09-03 16:02:34,308 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:34,308 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-09-03 16:02:34,309 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:34,309 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
